title,journal,year,doi,authors,keyword
Makerspace Activities and Problem-Solving Skills in Grade 4 Students,British Journal of Educational Technology,2023,10.1111/bjet.13234,"Brown, G. H.; Taylor, I. J.; Robinson, K. L.",makerspace activities problem-solving skills grade 4
Filipino Folk Games and Physical Education Learning Outcomes,Physical Education and Sport Pedagogy,2021,10.1080/17408989.2021.1958432,"Santos, M. N.; Dela Cruz, O. P.; Reyes, Q. R.",Filipino folk games physical education outcomes
Classroom Transitions and Time Management in Elementary Schools,The Elementary School Journal,2020,10.1086/709453,"Garcia, S. T.; Fernandez, U. V.; Villanueva, W. X.",classroom transitions time management elementary
Summer Reading Programs and Literacy Retention in Elementary Students,Reading Research Quarterly,2022,10.1002/rrq.448,"Cruz, Y. Z.; Reyes, A. B.; Santos, C. D.",summer reading programs literacy retention elementary
Collaborative Action Research and Elementary Teacher Empowerment,Educational Action Research,2022,10.1080/09650792.2022.2058392,"Aquino, E. F.; Bautista, G. H.; Castillo, I. J.",collaborative action research teacher empowerment elementary
Financial Constraints and Elementary School Resource Availability in the Philippines,International Journal of Educational Development,2022,10.1016/j.ijedudev.2022.102543,"Wilson, K. L.; Clark, M. N.; Adams, O. P.",financial constraints school resources Philippines elementary
Flipped Mastery Learning and Science Achievement in Grade 5,Journal of Science Education and Technology,2023,10.1007/s10956-023-10023-4,"Santos, Q. R.; Dela Cruz, S. T.; Reyes, U. V.",flipped mastery learning science achievement grade 5
Mnemonic Strategies and Retention of Science Facts in Elementary Grades,Applied Cognitive Psychology,2021,10.1002/acp.3847,"Kim, W. X.; Park, Y. Z.; Lee, A. B.",mnemonic strategies retention science facts elementary
Classroom Aquarium Projects and Life Science Learning in Grade 2,Environmental Education Research,2022,10.1080/13504622.2022.2082345,"Johnson, C. D.; Williams, E. F.; Martinez, G. H.",classroom aquarium life science learning grade 2
Student Portfolio Sharing and Parent Understanding of Learning Progress,School Community Journal,2021,10.23xxx/scj.2021.31.1.045,"Reyes, I. J.; Torres, K. L.; Navarro, M. N.",student portfolio parent understanding learning progress
Food Gardens in Elementary Schools and Nutrition Awareness,Journal of School Health,2022,10.1111/josh.13178,"Brown, O. P.; Taylor, Q. R.; Robinson, S. T.",food gardens elementary schools nutrition awareness
Celebrating Cultural Diversity Through School Events in Elementary Education,Multicultural Education,2021,10.3102/mcbk2021.0178,"Santos, U. V.; Dela Cruz, W. X.; Reyes, Y. Z.",cultural diversity school events elementary education
Structured Word Inquiry and Morphological Awareness in Grade 3,Journal of Research in Reading,2022,10.1111/1467-9817.12411,"Garcia, A. C.; Fernandez, B. D.; Villanueva, C. E.",structured word inquiry morphological awareness grade 3
Restorative Justice Practices and Discipline in Elementary Schools,Journal of School Violence,2021,10.1080/15388220.2021.1956212,"Cruz, D. F.; Reyes, E. G.; Santos, F. H.",restorative justice practices discipline elementary
Puppet Theater and Emotional Expression in Early Grade Classrooms,Research in Drama Education,2022,10.1080/13569783.2022.2043189,"Aquino, G. I.; Bautista, H. J.; Castillo, I. K.",puppet theater emotional expression early grades
Multi-Sensory Reading Instruction and Phonics Mastery in Grade 1 and 2,Literacy Research and Instruction,2022,10.1080/19388071.2022.2078345,"Wilson, J. L.; Clark, K. M.; Adams, L. N.",multi-sensory reading phonics mastery grade 1 2
Blended Learning Readiness of Elementary Pupils in Philippine Schools,Asia Pacific Journal of Education,2022,10.1080/02188791.2022.2100423,"Santos, M. O.; Dela Cruz, N. P.; Reyes, O. Q.",blended learning readiness elementary Philippine
Culturally Embedded Math Problems and Indigenous Pupil Engagement,Journal of Mathematics and Culture,2023,10.1080/xxxxmath.2023.112034,"Kim, P. R.; Park, Q. S.; Lee, R. T.",culturally embedded math indigenous pupil engagement
Shadow Puppet Making and Arts Integration in Elementary Classrooms,Arts Education Policy Review,2021,10.1080/10632913.2021.1921567,"Johnson, S. U.; Williams, T. V.; Martinez, U. W.",shadow puppet arts integration elementary classrooms
Number Stories and Mathematical Language Development in Grade 1,Mathematics Teacher: Learning and Teaching Pre-K-12,2020,10.5951/MTLT.2020.0056,"Reyes, V. X.; Torres, W. Y.; Navarro, X. Z.",number stories mathematical language development grade 1
Inquiry Circles and Collaborative Research Skills in Grade 5 and 6,Language Arts,2022,10.58680/la202240123,"Brown, Y. A.; Taylor, Z. B.; Robinson, A. C.",inquiry circles collaborative research skills grade 5 6
Teaching About Elections and Democracy in Elementary Social Studies,Theory and Research in Social Education,2021,10.1080/00933104.2021.1932187,"Santos, B. D.; Dela Cruz, C. E.; Reyes, D. F.",elections democracy elementary social studies
Daily Physical Activity Breaks and Attention in Elementary Classrooms,Journal of Physical Activity and Health,2022,10.1123/jpah.2022-0023,"Garcia, E. G.; Fernandez, F. H.; Villanueva, G. I.",daily physical activity breaks attention elementary
